"token_lower"	"frequency"	"doc_frequency"	"book_frequency"	"example_original"	"rank"
"rosie"	232	13	1	"rosie"	368
"star"	232	33	8	"star"	369
"body"	230	74	10	"body"	370
"soon"	230	99	10	"soon"	371
"together"	230	94	10	"together"	372
"outside"	229	91	10	"outside"	373
"we're"	227	78	10	"we're"	374
"along"	226	92	10	"along"	375
"croup"	225	16	1	"croup"	376
"london"	225	53	8	"london"	377
"better"	224	95	10	"better"	378
"passed"	224	83	9	"passed"	379
"slowly"	223	94	9	"slowly"	380
"whole"	223	93	10	"whole"	381
"scared"	222	81	9	"scared"	382
"holding"	221	89	10	"holding"	383
"i'd"	221	77	10	"i'd"	384
"food"	219	71	9	"food"	385
"jack"	219	26	5	"jack"	386
"love"	219	77	10	"love"	387
"money"	219	60	8	"money"	388
"same"	219	89	10	"same"	389
"used"	218	95	10	"used"	390
"graveyard"	217	18	5	"graveyard"	391
"hall"	217	68	9	"hall"	392
"set"	217	86	10	"set"	393
"fire"	215	69	10	"fire"	394
"hundred"	214	74	9	"hundred"	395
"silas"	214	8	1	"silas"	396
"vandemar"	214	16	1	"vandemar"	397
"waiting"	214	88	10	"waiting"	398
"hill"	213	49	9	"hill"	399
"street"	213	62	8	"street"	400
"tiny"	213	96	10	"tiny"	401
"upon"	213	74	9	"upon"	402
"hunter"	211	19	3	"hunter"	403
"talking"	211	91	10	"talking"	404
"herself"	209	77	9	"herself"	405
"great"	208	81	10	"great"	406
"moved"	208	83	10	"moved"	407
"course"	207	86	10	"course"	408
"somewhere"	207	84	10	"somewhere"	409
"lost"	206	89	10	"lost"	410
"women"	205	69	9	"women"	411
"past"	204	85	10	"past"	412
"trying"	204	91	10	"trying"	413
"words"	204	80	9	"words"	414
"happened"	203	86	10	"happened"	415
"realized"	203	83	8	"realized"	416
"dream"	202	67	9	"dream"	417
"pocket"	201	69	9	"pocket"	418
"child"	200	74	9	"child"	419
"you'll"	199	85	10	"you'll"	420
"four"	198	80	10	"four"	421
"lady"	198	76	10	"lady"	422
"family"	197	71	8	"family"	423
"sitting"	197	86	9	"sitting"	424
"also"	196	89	10	"also"	425
"he'd"	196	55	8	"he'd"	426
"hempstock"	196	23	3	"hempstock"	427
"rock"	196	59	10	"rock"	428
"kept"	195	90	10	"kept"	429
"sleep"	195	84	10	"sleep"	430
"story"	195	43	9	"story"	431
"wooden"	195	79	9	"wooden"	432
"close"	194	87	10	"close"	433
"simply"	194	82	9	"simply"	434
"city"	193	56	8	"city"	435
"rest"	193	80	10	"rest"	436
"bit"	191	74	10	"bit"	437
"box"	191	60	9	"box"	438
"skin"	191	79	10	"skin"	439
"okay"	190	56	8	"okay"	440
"paper"	190	66	9	"paper"	441
"saying"	190	83	10	"saying"	442
"clothes"	189	76	9	"clothes"	443
"eye"	189	73	10	"eye"	444
"kitchen"	189	62	9	"kitchen"	445
"noise"	189	79	10	"noise"	446
"ask"	188	82	10	"ask"	447
"key"	188	51	9	"key"	448
"children"	187	79	10	"children"	449
"pale"	187	81	10	"pale"	450
"you've"	187	75	10	"you've"	451
"brother"	186	37	6	"brother"	452
"fell"	186	87	10	"fell"	453
"part"	186	78	10	"part"	454
"read"	186	61	8	"read"	455
"eat"	185	73	10	"eat"	456
"path"	185	56	10	"path"	457
"point"	185	81	10	"point"	458
"taken"	185	80	10	"taken"	459
"chest"	184	85	9	"chest"	460
"anyone"	183	75	10	"anyone"	461
"bird"	183	51	10	"bird"	462
"nancy"	183	19	2	"nancy"	463
"such"	183	76	9	"such"	464
"teeth"	183	75	10	"teeth"	465
"friends"	182	71	9	"friends"	466
"moon"	181	63	10	"moon"	467
"sometimes"	181	78	9	"sometimes"	468
"started"	181	86	10	"started"	469
"does"	179	88	10	"does"	470
"nobody"	179	71	10	"nobody"	471
"run"	179	78	9	"run"	472
"getting"	178	85	10	"getting"	473
"watched"	178	82	9	"watched"	474
"won't"	178	80	10	"won't"	475
"death"	177	71	10	"death"	476
"scarlett"	177	2	1	"scarlett"	477
"stop"	177	86	10	"stop"	478
"help"	176	76	9	"help"	479
"making"	176	88	9	"making"	480
"actually"	175	71	10	"actually"	481
"ice"	175	48	9	"ice"	482
"phone"	175	46	7	"phone"	483
"pointed"	175	79	10	"pointed"	484
"times"	175	87	10	"times"	485
"true"	175	77	10	"true"	486
"turn"	175	82	9	"turn"	487
"lot"	173	72	10	"lot"	488
"bedroom"	172	57	8	"bedroom"	489
"brought"	172	81	9	"brought"	490
"arm"	171	71	10	"arm"	491
"sharp"	171	87	10	"sharp"	492
"yet"	171	78	10	"yet"	493
"book"	170	50	9	"book"	494
"coat"	170	61	9	"coat"	495
"knife"	170	47	9	"knife"	496
"grey"	169	41	8	"grey"	497
"killed"	169	56	8	"killed"	498
"less"	169	82	9	"less"	499
"lights"	169	66	9	"lights"	500
"pain"	169	62	7	"pain"	501
"quite"	169	75	9	"quite"	502
"bag"	168	53	8	"bag"	503
"isn't"	168	77	9	"isn't"	504
"though"	168	84	10	"though"	505
"breath"	167	84	10	"breath"	506
"steps"	167	65	8	"steps"	507
"having"	166	80	9	"having"	508
"police"	166	35	8	"police"	509
"sound"	166	83	10	"sound"	510
"dropped"	165	80	10	"dropped"	511
"late"	165	79	10	"late"	512
"year"	165	64	10	"year"	513
"ago"	164	73	10	"ago"	514
"birds"	164	46	9	"birds"	515
"sun"	164	73	10	"sun"	516
"yellow"	164	77	9	"yellow"	517
"hot"	162	68	10	"hot"	518
"covered"	161	75	10	"covered"	519
"cut"	161	77	9	"cut"	520
"snow"	161	40	7	"snow"	521
"strange"	161	86	10	"strange"	522
"touched"	161	83	10	"touched"	523
"foot"	160	65	9	"foot"	524
"daisy"	159	19	7	"daisy"	525
"kill"	159	61	8	"kill"	526
"myself"	159	68	10	"myself"	527
"wrong"	159	74	10	"wrong"	528
"die"	158	62	9	"die"	529
"hung"	158	77	9	"hung"	530
"rain"	158	48	8	"rain"	531
"aren't"	157	74	10	"aren't"	532
"died"	157	73	9	"died"	533
"may"	157	73	9	"may"	534
"raised"	157	76	9	"raised"	535
"wet"	156	76	10	"wet"	536
"what's"	155	66	9	"what's"	537
"stories"	154	39	9	"stories"	538
"arms"	153	82	9	"arms"	539
"feeling"	153	74	9	"feeling"	540
"shadow's"	153	19	1	"shadow's"	541
"trees"	153	61	10	"trees"	542
"gods"	152	41	7	"gods"	543
"pretty"	152	65	10	"pretty"	544
"sort"	152	73	10	"sort"	545
"bottom"	151	74	10	"bottom"	546
"staring"	151	79	10	"staring"	547
"word"	151	70	10	"word"	548
"meant"	150	79	10	"meant"	549
"step"	150	66	9	"step"	550
"corner"	149	77	10	"corner"	551
"couldn't"	149	66	10	"couldn't"	552
"hold"	149	74	10	"hold"	553
"idea"	149	68	9	"idea"	554
"waited"	149	80	10	"waited"	555
"became"	148	65	9	"became"	556
"whatever"	148	80	10	"whatever"	557
"decided"	147	74	10	"decided"	558
"followed"	147	78	9	"followed"	559
"neck"	147	71	9	"neck"	560
"sister"	147	54	8	"sister"	561
"thank"	147	76	10	"thank"	562
"below"	146	67	9	"below"	563
"hello"	146	64	10	"hello"	564
"probably"	146	64	10	"probably"	565
"whether"	146	82	9	"whether"	566
"become"	145	74	10	"become"	567
"given"	144	72	9	"given"	568
"later"	144	81	10	"later"	569
"alone"	143	73	9	"alone"	570
"school"	143	44	9	"school"	571
"color"	142	76	8	"color"	572
"living"	142	57	7	"living"	573
"move"	142	70	10	"move"	574
"nice"	142	66	10	"nice"	575
"owens"	142	8	1	"owens"	576
"please"	141	66	9	"please"	577
"stay"	141	75	9	"stay"	578
"bring"	140	73	10	"bring"	579
"czernobog"	140	8	1	"czernobog"	580
"friend"	140	68	8	"friend"	581
"metal"	140	62	10	"metal"	582
"needed"	140	71	10	"needed"	583
"shoulder"	140	69	10	"shoulder"	584
"warm"	140	74	9	"warm"	585
"wouldn't"	140	78	9	"wouldn't"	586
"anyway"	139	66	10	"anyway"	587
"thinking"	139	67	9	"thinking"	588
"low"	138	70	9	"low"	589
"stairs"	138	50	8	"stairs"	590
"whispered"	138	66	9	"whispered"	591
"none"	137	76	10	"none"	592
"person"	137	73	9	"person"	593
"remembered"	137	65	10	"remembered"	594
"twenty"	137	61	9	"twenty"	595
"bridge"	136	39	9	"bridge"	596
"doesn't"	136	64	9	"doesn't"	597
"matter"	136	70	9	"matter"	598
"number"	136	63	9	"number"	599
"happy"	135	69	9	"happy"	600
"wine"	135	38	8	"wine"	601
"angel"	134	27	4	"angel"	602
"care"	134	69	9	"care"	603
"caught"	134	67	10	"caught"	604
"legs"	134	80	10	"legs"	605
"rat"	134	26	5	"rat"	606
"since"	134	64	9	"since"	607
"able"	133	68	9	"able"	608
"grass"	133	46	8	"grass"	609
"itself"	133	78	10	"itself"	610
"nose"	133	67	9	"nose"	611
"placed"	132	66	10	"placed"	612
"safe"	132	66	9	"safe"	613
"finger"	131	67	10	"finger"	614
"flat"	131	57	10	"flat"	615
"edge"	130	70	9	"edge"	616
"full"	130	67	10	"full"	617
"hole"	130	50	10	"hole"	618
"rather"	130	64	10	"rather"	619
"sir"	130	40	8	"sir"	620
"ten"	130	52	9	"ten"	621
"alive"	129	55	9	"alive"	622
"coin"	129	36	9	"coin"	623
"show"	129	62	10	"show"	624
"drove"	128	38	7	"drove"	625
"fast"	128	76	10	"fast"	626
"stars"	128	55	10	"stars"	627
